Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
185,38.59,14,647,661,0.8000
186,38.53,14,666,680,0.8000
187,38.68,13,693,706,0.8000
188,39.05,13,705,718,0.8000
189,39.35,13,696,709,0.8000
190,39.41,13,685,698,0.8000
191,39.34,13,672,685,0.8000
192,39.18,13,654,667,0.8000
193,38.93,13,658,671,0.8000
194,38.84,13,688,701,0.8000
195,39.08,13,702,715,0.8000
196,39.34,13,721,734,0.8000
197,39.64,14,739,753,0.8000
198,39.93,15,736,751,0.8000
199,40.01,15,744,759,0.8000
200,40.13,15,737,752,0.8000
201,40.12,14,727,741,0.8000
202,40.28,13,725,738,0.8050
203,40.60,7,727,734,0.8100
204,41.23,5,713,718,0.8150
205,41.70,4,698,702,0.8200
206,42.05,5,680,685,0.8250
207,42.24,8,666,674,0.8300
208,42.30,9,645,654,0.8350
209,42.31,8,640,648,0.8400
210,42.51,8,610,618,0.8450
211,42.54,9,563,572,0.8500
212,42.28,9,519,528,0.8550
213,41.94,9,512,521,0.8600
214,41.91,9,496,505,0.8650
215,41.95,10,479,489,0.8700
216,41.98,11,466,477,0.8750
217,42.04,13,449,462,0.8800
218,42.03,15,421,436,0.8850
219,41.89,19,393,412,0.8900
220,41.60,22,355,377,0.8950
221,41.19,27,328,355,0.9000
222,40.73,30,305,335,0.9050
223,40.37,37,292,329,0.9100
224,40.00,41,290,331,0.9150
225,39.84,53,279,332,0.9200
226,39.40,66,261,327,0.9250
227,38.72,80,237,317,0.9300
228,37.82,94,223,317,0.9350
229,36.90,108,206,314,0.9400
230,35.94,125,190,315,0.9450
231,34.87,144,186,330,0.9500
232,33.77,164,176,340,0.9550
233,32.56,188,155,343,0.9600
234,31.04,215,137,352,0.9650
235,29.29,249,131,380,0.9700
236,27.26,278,127,405,0.9750
237,25.31,305,123,428,0.9800
238,23.47,326,122,448,0.9850
239,21.93,360,119,479,0.9900
240,20.04,388,118,506,0.9950
241,18.22,410,114,524,1.0000
242,16.62,428,113,541,1.0050
243,15.32,448,116,564,1.0100
244,14.13,476,117,593,1.0150
245,12.66,498,117,615,1.0200
246,11.29,521,120,641,1.0250
247,9.94,544,123,667,1.0300
248,8.61,574,130,704,1.0350
249,7.06,591,129,720,1.0400
250,5.81,606,136,742,1.0450
