Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
185,39.53,11,663,674,0.8000
186,39.26,12,665,677,0.8000
187,39.11,12,660,672,0.8000
188,38.99,12,643,655,0.8000
189,38.76,12,643,655,0.8000
190,38.65,12,649,661,0.8000
191,38.65,12,645,657,0.8000
192,38.61,12,665,677,0.8000
193,38.79,12,669,681,0.8000
194,38.91,11,663,674,0.8000
195,38.95,11,673,684,0.8000
196,39.07,10,678,688,0.8000
197,39.21,10,687,697,0.8000
198,39.37,10,698,708,0.8000
199,39.56,10,698,708,0.8000
200,39.65,13,714,727,0.8000
201,39.73,16,741,757,0.8000
202,40.15,20,742,762,0.8050
203,40.44,20,750,770,0.8100
204,40.88,18,748,766,0.8150
205,41.38,18,739,757,0.8200
206,41.76,18,733,751,0.8250
207,42.11,18,718,736,0.8300
208,42.36,18,711,729,0.8350
209,42.63,17,685,702,0.8400
210,42.77,16,660,676,0.8450
211,42.85,17,644,661,0.8500
212,42.91,18,628,646,0.8550
213,42.96,20,598,618,0.8600
214,42.83,21,590,611,0.8650
215,42.86,23,584,607,0.8700
216,42.95,26,546,572,0.8750
217,42.72,28,510,538,0.8800
218,42.40,30,486,516,0.8850
219,42.13,31,463,494,0.8900
220,41.94,34,437,471,0.8950
221,41.69,38,411,449,0.9000
222,41.36,44,381,425,0.9050
223,40.89,50,352,402,0.9100
224,40.34,54,334,388,0.9150
225,39.95,61,301,362,0.9200
226,39.37,69,279,348,0.9250
227,38.76,88,268,356,0.9300
228,37.83,107,253,360,0.9350
229,36.71,130,235,365,0.9400
230,35.30,157,227,384,0.9450
231,33.70,185,220,405,0.9500
232,31.97,222,217,439,0.9550
233,29.88,266,211,477,0.9600
234,27.31,314,207,521,0.9650
235,24.38,371,196,567,0.9700
236,20.86,421,190,611,0.9750
237,17.35,471,195,666,0.9800
238,13.95,517,187,704,0.9850
239,10.64,547,177,724,0.9900
240,7.94,572,166,738,0.9950
241,5.73,598,172,770,1.0000
242,3.89,618,174,792,1.0050
243,2.41,627,171,798,1.0100
244,1.49,631,171,802,1.0150
245,1.05,631,176,807,1.0200
246,1.06,627,178,805,1.0250
247,1.41,625,181,806,1.0300
248,1.86,621,182,803,1.0350
249,2.42,620,184,804,1.0400
250,2.93,615,183,798,1.0450
251,3.53,610,179,789,1.0500
252,4.15,609,178,787,1.0550
253,4.66,594,189,783,1.0600
254,5.75,581,199,780,1.0650
255,7.05,563,208,771,1.0700
256,8.63,545,218,763,1.0750
257,10.35,520,242,762,1.0800
258,12.55,494,256,750,1.0850
259,14.92,464,272,736,1.0900
260,17.55,432,296,728,1.0950
261,20.45,419,312,731,1.1000
262,22.71,406,318,724,1.1050
263,24.54,399,323,722,1.1100
264,25.93,418,325,743,1.1150
265,26.10,423,331,754,1.1200
266,26.21,422,336,758,1.1250
267,26.51,431,343,774,1.1300
268,26.55,435,344,779,1.1350
269,26.59,443,345,788,1.1400
270,26.47,454,340,794,1.1450
271,26.11,466,334,800,1.1500
272,25.58,482,329,811,1.1550
273,24.82,492,324,816,1.1600
274,24.18,496,324,820,1.1650
275,23.86,499,319,818,1.1700
276,23.69,498,310,808,1.1750
277,23.71,511,298,809,1.1800
278,23.27,524,289,813,1.1850
279,22.63,549,271,820,1.1900
280,21.35,560,255,815,1.1950
281,20.30,569,236,805,1.2000
282,19.40,596,206,802,1.2050
283,17.81,609,185,794,1.2100
284,16.47,626,158,784,1.2150
285,15.05,640,131,771,1.2200
286,13.71,646,120,766,1.2250
287,12.85,665,109,774,1.2300
288,11.76,661,102,763,1.2350
289,11.44,661,95,756,1.2400
290,11.35,672,85,757,1.2450
291,10.95,697,76,773,1.2500
292,9.87,713,70,783,1.2550
293,8.81,723,66,789,1.2600
294,8.01,740,65,805,1.2650
295,7.11,747,65,812,1.2700
296,6.54,751,68,819,1.2750
297,6.27,756,69,825,1.2800
298,6.10,764,67,831,1.2850
299,5.84,768,65,833,1.2900
300,5.67,761,64,825,1.2950
301,5.99,758,63,821,1.3000
302,6.38,744,60,804,1.3050
303,7.21,751,58,809,1.3100
304,7.49,750,57,807,1.3150
305,7.79,763,55,818,1.3200
306,7.57,753,52,805,1.3250
307,7.94,741,49,790,1.3300
308,8.68,754,44,798,1.3350
309,8.65,762,43,805,1.3400
310,8.46,762,41,803,1.3450
311,8.48,745,40,785,1.3500
312,9.25,751,37,788,1.3550
313,9.51,770,32,802,1.3600
314,9.02,781,31,812,1.3650
315,8.48,771,29,800,1.3700
316,8.70,788,28,816,1.3750
317,8.29,798,27,825,1.3800
318,7.83,786,27,813,1.3850
319,8.18,800,25,825,1.3900
320,7.94,794,25,819,1.3950
321,8.18,814,23,837,1.4000
322,7.66,806,21,827,1.4050
323,7.80,814,19,833,1.4100
324,7.68,819,18,837,1.4150
325,7.56,824,12,836,1.4200
326,7.37,828,9,837,1.4250
327,7.23,815,6,821,1.4300
328,7.74,823,5,828,1.4350
329,7.81,825,4,829,1.4400
330,7.89,821,4,825,1.4450
331,8.20,829,4,833,1.4500
332,8.18,820,4,824,1.4550
333,8.63,816,4,820,1.4600
334,9.13,821,5,826,1.4650
335,9.33,830,5,835,1.4700
336,9.21,817,5,822,1.4750
337,9.76,815,6,821,1.4800
338,10.24,817,5,822,1.4850
339,10.52,832,5,837,1.4900
340,10.21,818,5,823,1.4950
341,10.71,823,5,828,1.5000
342,10.89,829,5,834,1.5050
343,10.87,829,5,834,1.5100
344,10.98,830,5,835,1.5150
345,11.12,827,4,831,1.5200
346,11.41,835,3,838,1.5250
347,11.36,834,3,837,1.5300
348,11.49,832,3,835,1.5350
349,11.75,836,3,839,1.5400
350,11.84,836,3,839,1.5450
351,12.01,838,3,841,1.5500
352,12.13,828,3,831,1.5550
353,12.68,835,3,838,1.5600
354,12.81,835,3,838,1.5650
355,12.99,838,3,841,1.5700
356,13.08,838,3,841,1.5750
357,13.24,832,3,835,1.5800
358,13.66,835,3,838,1.5850
359,13.87,832,2,834,1.5900
360,14.19,839,1,840,1.5950
361,14.19,834,1,835,1.6000
362,14.50,835,0,835,1.6050
363,14.71,834,0,834,1.6100
364,14.97,839,0,839,1.6150
365,15.02,835,0,835,1.6200
366,15.31,833,0,833,1.6250
367,15.64,835,0,835,1.6300
368,15.83,833,0,833,1.6350
369,16.12,840,0,840,1.6400
370,16.11,838,0,838,1.6450
371,16.29,840,0,840,1.6500
372,16.41,840,0,840,1.6550
373,16.58,838,0,838,1.6600
374,16.85,841,0,841,1.6650
375,16.98,841,0,841,1.6700
376,17.15,841,0,841,1.6750
377,17.35,836,0,836,1.6800
378,17.74,839,0,839,1.6850
379,17.93,841,0,841,1.6900
380,18.05,841,0,841,1.6950
381,18.22,841,0,841,1.7000
382,18.41,838,0,838,1.7050
383,18.73,839,0,839,1.7100
384,18.95,838,0,838,1.7150
385,19.20,840,0,840,1.7200
386,19.36,839,0,839,1.7250
387,19.58,838,0,838,1.7300
388,19.83,838,0,838,1.7350
389,20.06,841,0,841,1.7400
390,20.17,836,0,836,1.7450
391,20.51,836,0,836,1.7500
392,20.79,839,0,839,1.7550
393,20.91,837,0,837,1.7600
394,21.15,838,0,838,1.7650
395,21.34,838,0,838,1.7700
396,21.53,841,0,841,1.7750
397,21.62,840,0,840,1.7800
398,21.80,840,0,840,1.7850
399,21.99,841,0,841,1.7900
400,22.15,841,0,841,1.7950
401,22.33,841,0,841,1.8000
402,22.42,837,0,837,1.8000
403,22.61,840,0,840,1.8000
404,22.60,841,0,841,1.8000
405,22.55,840,0,840,1.8000
406,22.57,841,0,841,1.8000
407,22.54,839,0,839,1.8000
408,22.60,840,0,840,1.8000
409,22.59,839,0,839,1.8000
410,22.62,841,0,841,1.8000
411,22.57,839,0,839,1.8000
412,22.61,838,0,838,1.8000
413,22.67,837,0,837,1.8000
414,22.74,841,0,841,1.8000
415,22.62,837,0,837,1.8000
416,22.72,835,0,835,1.8000
417,22.84,840,0,840,1.8000
418,22.71,839,0,839,1.8000
419,22.68,840,0,840,1.8000
420,22.63,837,0,837,1.8000
421,22.72,841,0,841,1.8000
422,22.61,840,0,840,1.8000
423,22.60,840,0,840,1.8000
424,22.59,841,0,841,1.8000
425,22.55,841,0,841,1.8000
426,22.53,841,0,841,1.8000
427,22.52,838,0,838,1.8000
428,22.63,840,0,840,1.8000
429,22.60,841,0,841,1.8000
430,22.56,841,0,841,1.8000
431,22.53,841,0,841,1.8000
432,22.52,839,0,839,1.8000
433,22.59,840,0,840,1.8000
434,22.59,839,0,839,1.8000
435,22.62,841,0,841,1.8000
436,22.56,839,0,839,1.8000
437,22.61,837,0,837,1.8000
438,22.71,838,0,838,1.8000
439,22.72,841,0,841,1.8000
440,22.61,838,0,838,1.8000
441,22.67,837,0,837,1.8000
442,22.74,840,0,840,1.8000
443,22.66,839,0,839,1.8000
444,22.66,839,0,839,1.8000
445,22.66,837,0,837,1.8000
446,22.73,841,0,841,1.8000
447,22.62,840,0,840,1.8000
448,22.60,840,0,840,1.8000
449,22.59,841,0,841,1.8000
450,22.55,841,0,841,1.8000
451,22.53,841,0,841,1.8000
452,22.52,837,0,837,1.8000
453,22.66,840,0,840,1.8000
454,22.62,841,0,841,1.8000
455,22.56,841,0,841,1.8000
456,22.54,841,0,841,1.8000
457,22.52,839,0,839,1.8000
458,22.59,839,0,839,1.8000
459,22.62,839,0,839,1.8000
460,22.64,840,0,840,1.8000
461,22.61,839,0,839,1.8000
462,22.63,839,0,839,1.8000
463,22.65,838,0,838,1.8000
464,22.69,841,0,841,1.8000
465,22.60,837,0,837,1.8000
466,22.70,837,0,837,1.8000
467,22.76,839,0,839,1.8000
468,22.71,838,0,838,1.8000
469,22.72,839,0,839,1.8000
470,22.69,836,0,836,1.8000
471,22.79,841,0,841,1.8000
472,22.65,840,0,840,1.8000
473,22.61,841,0,841,1.8000
474,22.56,841,0,841,1.8000
475,22.53,841,0,841,1.8000
476,22.52,841,0,841,1.8000
477,22.51,839,0,839,1.8000
478,22.59,840,0,840,1.8000
479,22.58,841,0,841,1.8000
480,22.55,841,0,841,1.8000
481,22.53,841,0,841,1.8000
482,22.52,838,0,838,1.8000
483,22.62,839,0,839,1.8000
484,22.64,840,0,840,1.8000
485,22.61,840,0,840,1.8000
486,22.60,839,0,839,1.8000
487,22.63,838,0,838,1.8000
488,22.68,837,0,837,1.8000
489,22.74,841,0,841,1.8000
490,22.63,839,0,839,1.8000
491,22.64,834,0,834,1.8000
492,22.84,838,0,838,1.8000
493,22.78,839,0,839,1.8000
494,22.72,838,0,838,1.8000
495,22.73,838,0,838,1.8000
496,22.73,841,0,841,1.8000
497,22.62,840,0,840,1.8000
498,22.60,840,0,840,1.8000
499,22.59,841,0,841,1.8000
500,22.55,841,0,841,1.8000
501,22.53,841,0,841,1.8000
502,22.52,838,0,838,1.8000
503,22.63,840,0,840,1.8000
504,22.60,841,0,841,1.8000
505,22.56,841,0,841,1.8000
506,22.53,841,0,841,1.8000
507,22.52,838,0,838,1.8000
508,22.63,839,0,839,1.8000
509,22.64,839,0,839,1.8000
510,22.65,841,0,841,1.8000
511,22.58,839,0,839,1.8000
512,22.62,838,0,838,1.8000
513,22.68,838,0,838,1.8000
514,22.70,841,0,841,1.8000
515,22.61,836,0,836,1.8000
516,22.74,837,0,837,1.8000
517,22.78,839,0,839,1.8000
518,22.72,839,0,839,1.8000
519,22.69,839,0,839,1.8000
520,22.67,837,0,837,1.8000
521,22.74,841,0,841,1.8000
522,22.62,840,0,840,1.8000
523,22.60,840,0,840,1.8000
524,22.59,841,0,841,1.8000
525,22.55,841,0,841,1.8000
526,22.53,841,0,841,1.8000
527,22.52,837,0,837,1.8000
528,22.66,840,0,840,1.8000
529,22.62,841,0,841,1.8000
530,22.56,841,0,841,1.8000
531,22.54,841,0,841,1.8000
532,22.52,838,0,838,1.8000
533,22.63,839,0,839,1.8000
534,22.64,838,0,838,1.8000
535,22.69,841,0,841,1.8000
536,22.60,839,0,839,1.8000
537,22.63,837,0,837,1.8000
538,22.72,838,0,838,1.8000
539,22.72,841,0,841,1.8000
540,22.62,838,0,838,1.8000
541,22.67,837,0,837,1.8000
542,22.74,838,0,838,1.8000
543,22.74,839,0,839,1.8000
544,22.70,838,0,838,1.8000
545,22.71,837,0,837,1.8000
546,22.76,841,0,841,1.8000
547,22.63,840,0,840,1.8000
548,22.61,839,0,839,1.8000
549,22.63,841,0,841,1.8000
550,22.57,841,0,841,1.8000
551,22.54,841,0,841,1.8000
552,22.52,838,0,838,1.8000
553,22.63,841,0,841,1.8000
554,22.57,841,0,841,1.8000
555,22.54,841,0,841,1.8000
556,22.52,841,0,841,1.8000
557,22.51,837,0,837,1.8000
558,22.66,840,0,840,1.8000
559,22.62,840,0,840,1.8000
560,22.60,841,0,841,1.8000
561,22.55,839,0,839,1.8000
562,22.61,839,0,839,1.8000
563,22.63,838,0,838,1.8000
564,22.68,841,0,841,1.8000
565,22.59,838,0,838,1.8000
566,22.66,837,0,837,1.8000
567,22.74,839,0,839,1.8000
568,22.70,839,0,839,1.8000
569,22.68,839,0,839,1.8000
570,22.67,837,0,837,1.8000
571,22.74,841,0,841,1.8000
572,22.62,840,0,840,1.8000
573,22.60,840,0,840,1.8000
574,22.59,841,0,841,1.8000
575,22.55,841,0,841,1.8000
576,22.53,841,0,841,1.8000
577,22.52,838,0,838,1.8000
578,22.63,840,0,840,1.8000
579,22.60,841,0,841,1.8000
580,22.56,841,0,841,1.8000
581,22.53,841,0,841,1.8000
582,22.52,839,0,839,1.8000
583,22.59,839,0,839,1.8000
584,22.62,839,0,839,1.8000
585,22.64,840,0,840,1.8000
