Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
185,40.07,4,679,683,0.8000
186,39.95,3,675,678,0.8000
187,39.89,3,680,683,0.8000
188,39.90,4,685,689,0.8000
189,39.92,4,713,717,0.8000
190,40.20,4,714,718,0.8000
191,40.35,4,710,714,0.8000
192,40.38,4,708,712,0.8000
193,40.38,4,710,714,0.8000
194,40.40,4,666,670,0.8000
195,39.99,4,641,645,0.8000
196,39.54,5,634,639,0.8000
197,39.22,5,640,645,0.8000
198,39.11,6,660,666,0.8000
199,39.21,6,677,683,0.8000
200,39.43,6,692,698,0.8000
201,39.67,6,696,702,0.8000
202,39.84,7,719,726,0.8000
203,40.10,6,730,736,0.8000
204,40.38,5,730,735,0.8000
205,40.55,5,733,738,0.8000
206,40.67,7,738,745,0.8000
207,40.70,8,752,760,0.8000
208,40.81,9,754,763,0.8000
209,40.85,12,756,768,0.8000
210,40.77,18,751,769,0.8000
211,40.46,20,742,762,0.8000
212,40.15,21,715,736,0.8000
213,39.69,23,687,710,0.8000
214,39.12,23,687,710,0.8000
215,38.84,24,694,718,0.8000
216,38.73,24,711,735,0.8000
217,38.83,25,715,740,0.8000
218,38.89,25,706,731,0.8000
219,38.83,25,708,733,0.8000
220,38.82,25,703,728,0.8000
221,38.76,24,701,725,0.8000
222,38.76,24,682,706,0.8000
223,38.57,23,654,677,0.8000
224,38.25,23,637,660,0.8000
225,37.92,23,645,668,0.8000
226,37.84,23,641,664,0.8000
227,37.76,22,678,700,0.8000
228,38.11,22,700,722,0.8000
229,38.49,21,712,733,0.8000
230,38.84,21,731,752,0.8000
231,39.19,19,719,738,0.8000
232,39.33,18,734,752,0.8000
233,39.58,16,739,755,0.8000
234,39.83,12,749,761,0.8000
235,40.19,8,763,771,0.8000
236,40.66,6,785,791,0.8000
237,41.18,4,796,800,0.8000
238,41.62,3,792,795,0.8000
239,41.84,3,771,774,0.8000
240,41.75,2,746,748,0.8000
241,41.50,1,732,733,0.8000
242,41.28,1,730,731,0.8000
243,41.15,1,722,723,0.8000
244,41.01,1,737,738,0.8000
245,41.09,1,740,741,0.8000
246,41.15,1,746,747,0.8000
247,41.24,1,743,744,0.8000
248,41.26,1,735,736,0.8000
249,41.19,1,724,725,0.8000
250,41.05,1,695,696,0.8000
251,40.70,1,650,651,0.8000
252,40.10,1,611,612,0.8000
253,39.43,1,599,600,0.8000
254,38.97,1,590,591,0.8000
255,38.66,2,603,605,0.8000
256,38.59,2,615,617,0.8000
257,38.67,3,652,655,0.8000
258,39.03,2,660,662,0.8000
259,39.32,4,690,694,0.8000
260,39.68,5,702,707,0.8000
261,39.93,6,715,721,0.8000
262,40.15,6,724,730,0.8000
263,40.34,6,738,744,0.8000
264,40.57,6,748,754,0.8000
265,40.78,6,757,763,0.8000
266,40.97,6,765,771,0.8000
267,41.15,6,755,761,0.8000
268,41.14,6,739,745,0.8000
269,40.98,6,726,732,0.8000
270,40.78,6,713,719,0.8000
271,40.55,6,719,725,0.8000
272,40.50,6,723,729,0.8000
273,40.51,6,727,733,0.8000
274,40.55,6,737,743,0.8000
275,40.67,6,734,740,0.8000
276,40.70,6,733,739,0.8000
277,40.70,6,721,727,0.8000
278,40.59,6,720,726,0.8000
279,40.52,5,714,719,0.8000
280,40.47,5,700,705,0.8000
281,40.31,5,662,667,0.8000
282,39.87,4,628,632,0.8000
283,39.36,3,578,581,0.8000
284,38.67,2,559,561,0.8000
285,38.17,1,550,551,0.8000
286,37.88,0,576,576,0.8000
287,38.02,0,611,611,0.8000
288,38.42,0,663,663,0.8000
289,39.12,0,699,699,0.8000
290,39.81,0,726,726,0.8000
291,40.42,0,731,731,0.8000
292,40.77,0,739,739,0.8000
293,41.02,0,756,756,0.8000
294,41.31,0,766,766,0.8000
295,41.55,0,760,760,0.8000
296,41.61,0,758,758,0.8000
297,41.62,0,747,747,0.8000
298,41.52,0,743,743,0.8000
299,41.44,0,750,750,0.8000
300,41.46,0,750,750,0.8000
301,41.47,0,747,747,0.8000
302,41.45,0,740,740,0.8000
303,41.37,0,725,725,0.8000
304,41.19,0,721,721,0.8000
305,41.06,0,728,728,0.8000
306,41.06,0,721,721,0.8000
307,40.99,0,729,729,0.8000
308,41.04,0,734,734,0.8000
309,41.11,0,724,724,0.8000
310,41.05,0,688,688,0.8000
311,40.67,0,648,648,0.8000
312,40.10,0,607,607,0.8000
313,39.43,0,576,576,0.8000
314,38.79,0,533,533,0.8000
315,38.06,0,539,539,0.8000
316,37.76,0,562,562,0.8000
317,37.82,0,598,598,0.8000
318,38.20,0,652,652,0.8000
319,38.91,0,708,708,0.8000
320,39.79,0,742,742,0.8000
321,40.56,0,768,768,0.8000
322,41.19,0,763,763,0.8000
323,41.46,0,757,757,0.8000
324,41.54,0,756,756,0.8000
325,41.57,0,749,749,0.8000
326,41.52,0,746,746,0.8000
327,41.46,0,743,743,0.8000
328,41.40,0,738,738,0.8000
329,41.33,0,746,746,0.8000
330,41.37,0,757,757,0.8000
331,41.49,0,751,751,0.8000
332,41.50,0,739,739,0.8000
333,41.38,0,741,741,0.8000
334,41.35,0,739,739,0.8000
335,41.31,0,732,732,0.8000
336,41.22,0,727,727,0.8000
337,41.13,0,719,719,0.8000
338,41.01,0,712,712,0.8000
339,40.88,0,704,704,0.8000
340,40.74,0,675,675,0.8000
341,40.40,0,631,631,0.8000
342,39.80,0,559,559,0.8000
343,38.82,0,527,527,0.8000
344,38.02,0,494,494,0.8000
345,37.31,0,486,486,0.8000
346,36.87,0,521,521,0.8000
347,36.99,0,603,603,0.8000
348,37.83,0,679,679,0.8000
349,38.98,0,732,732,0.8000
350,40.06,0,767,767,0.8000
351,40.93,0,776,776,0.8000
352,41.46,0,772,772,0.8000
353,41.68,0,754,754,0.8000
354,41.62,0,745,745,0.8000
355,41.50,0,741,741,0.8000
356,41.41,0,746,746,0.8000
357,41.41,0,740,740,0.8000
358,41.35,0,743,743,0.8000
359,41.35,0,749,749,0.8000
360,41.41,0,759,759,0.8000
361,41.53,0,776,776,0.8000
362,41.75,0,769,769,0.8000
363,41.80,0,766,766,0.8000
364,41.79,0,766,766,0.8000
365,41.79,0,774,774,0.8000
366,41.87,0,777,777,0.8000
367,41.93,0,761,761,0.8000
368,41.81,0,748,748,0.8000
369,41.63,0,728,728,0.8000
370,41.34,0,698,698,0.8000
371,40.92,0,619,619,0.8000
372,39.95,0,532,532,0.8000
373,38.63,0,490,490,0.8000
374,37.57,0,479,479,0.8000
375,36.94,0,489,489,0.8000
376,36.72,0,538,538,0.8000
377,37.07,0,598,598,0.8000
378,37.83,0,706,706,0.8000
379,39.23,0,747,747,0.8000
380,40.33,0,755,755,0.8000
381,40.95,0,771,771,0.8000
382,41.42,0,769,769,0.8000
383,41.63,0,750,750,0.8000
384,41.56,0,745,745,0.8000
385,41.47,0,740,740,0.8000
386,41.38,0,739,739,0.8000
387,41.33,0,740,740,0.8000
388,41.31,0,750,750,0.8000
389,41.40,0,768,768,0.8000
390,41.61,0,783,783,0.8000
391,41.86,0,783,783,0.8000
392,41.99,0,769,769,0.8000
393,41.92,0,770,770,0.8000
394,41.89,0,775,775,0.8000
395,41.92,0,773,773,0.8000
396,41.92,0,775,775,0.8000
397,41.94,0,768,768,0.8000
398,41.88,0,741,741,0.8000
399,41.60,0,710,710,0.8000
400,41.16,0,668,668,0.8000
401,40.54,0,608,608,0.8000
402,39.65,0,501,501,0.8000
403,38.19,0,446,446,0.8000
404,36.93,0,442,442,0.8000
405,36.26,0,485,485,0.8000
406,36.34,0,584,584,0.8000
407,37.33,0,679,679,0.8000
408,38.73,0,716,716,0.8000
409,39.78,0,731,731,0.8000
410,40.45,0,751,751,0.8000
411,40.98,0,765,765,0.8000
412,41.37,0,764,764,0.8000
413,41.56,0,747,747,0.8000
414,41.49,0,739,739,0.8000
415,41.38,0,737,737,0.8000
416,41.31,0,749,749,0.8000
