Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
161,41.26,4,730,734,0.8000
162,41.03,5,736,741,0.8000
163,40.94,8,741,749,0.8000
164,40.82,10,745,755,0.8000
165,40.73,12,737,749,0.8000
166,40.53,12,735,747,0.8000
167,40.41,12,723,735,0.8000
168,40.24,12,709,721,0.8000
169,40.02,12,678,690,0.8000
170,39.61,12,651,663,0.8000
171,39.15,12,610,622,0.8000
172,38.53,12,581,593,0.8000
173,37.94,12,558,570,0.8000
174,37.43,12,518,530,0.8000
175,36.79,12,531,543,0.8000
176,36.59,12,559,571,0.8000
177,36.76,12,597,609,0.8000
178,37.21,11,649,660,0.8000
179,37.97,10,692,702,0.8000
180,38.80,9,728,737,0.8000
181,39.59,10,743,753,0.8000
182,40.10,10,756,766,0.8000
183,40.47,10,768,778,0.8000
184,40.77,10,769,779,0.8000
185,40.93,9,776,785,0.8000
186,41.12,9,782,791,0.8000
187,41.27,9,776,785,0.8000
188,41.29,9,766,775,0.8000
189,41.20,8,758,766,0.8000
190,41.12,6,759,765,0.8000
191,41.16,5,757,762,0.8000
192,41.20,5,744,749,0.8000
193,41.10,5,740,745,0.8000
194,41.01,5,730,735,0.8000
195,40.87,5,711,716,0.8000
196,40.61,5,704,709,0.8000
197,40.42,5,697,702,0.8000
198,40.26,5,701,706,0.8000
199,40.21,5,700,705,0.8000
200,40.18,5,672,677,0.8000
201,39.90,5,621,626,0.8000
202,39.27,5,587,592,0.8000
203,38.63,5,555,560,0.8000
204,38.01,5,540,545,0.8000
205,37.55,5,560,565,0.8000
206,37.51,5,611,616,0.8000
207,37.98,4,671,675,0.8000
208,38.83,4,678,682,0.8000
209,39.32,4,702,706,0.8000
210,39.79,4,709,713,0.8000
211,40.10,4,716,720,0.8000
212,40.31,4,726,730,0.8000
213,40.52,5,735,740,0.8000
214,40.67,4,744,748,0.8000
215,40.87,2,753,755,0.8000
216,41.13,1,752,753,0.8000
217,41.29,2,759,761,0.8000
218,41.40,2,764,766,0.8000
219,41.50,2,782,784,0.8000
220,41.72,2,784,786,0.8000
221,41.85,2,777,779,0.8000
222,41.85,2,771,773,0.8000
223,41.79,2,752,754,0.8000
224,41.58,2,732,734,0.8000
225,41.28,2,716,718,0.8000
226,40.98,2,712,714,0.8000
227,40.79,2,715,717,0.8000
