642,37.97,0,577,577,0.8
643,38.07,0,580,580,0.8
644,38.15,0,595,595,0.8
645,38.34,0,621,621,0.8
646,38.68,0,638,638,0.8
647,39.01,0,654,654,0.8
648,39.33,0,659,659,0.8
649,39.54,0,651,651,0.8
650,39.56,0,661,661,0.8
651,39.67,0,665,665,0.8
652,39.77,0,670,670,0.8
653,39.86,0,686,686,0.8
654,40.06,0,695,695,0.8
655,40.25,0,709,709,0.8
656,40.47,0,734,734,0.8
657,40.82,0,749,749,0.8
658,41.14,0,753,753,0.8
659,41.34,0,748,748,0.8
660,41.39,0,732,732,0.8
661,41.27,0,713,713,0.8
662,41.02,0,686,686,0.8
663,40.64,0,667,667,0.8
664,40.27,0,651,651,0.8
665,39.93,0,640,640,0.8
666,39.66,0,621,621,0.8
667,39.34,0,596,596,0.8
668,38.94,0,601,601,0.8
669,38.79,0,589,589,0.8
670,38.6,0,568,568,0.8
671,38.3,0,566,566,0.8
672,38.13,0,565,565,0.8
673,38.04,0,571,571,0.8
674,38.05,0,586,586,0.8
675,38.2,0,599,599,0.8
676,38.4,0,612,612,0.8
677,38.62,0,628,628,0.8
678,38.89,0,637,637,0.8
679,39.11,0,646,646,0.8
680,39.3,0,652,652,0.8
681,39.46,0,660,660,0.8
682,39.61,0,673,673,0.8
683,39.81,0,691,691,0.8
684,40.08,0,705,705,0.8
685,40.35,0,724,724,0.8
686,40.67,0,749,749,0.8
687,41.07,0,761,761,0.8
688,41.38,0,761,761,0.8
689,41.54,0,751,751,0.8
690,41.52,0,735,735,0.8
691,41.36,0,716,716,0.8
692,41.09,0,698,698,0.8
693,40.79,0,675,675,0.8
694,40.42,0,659,659,0.8
695,40.08,0,644,644,0.8
696,39.77,0,629,629,0.8
697,39.47,0,614,614,0.8
698,39.18,0,617,617,0.8
699,39.06,0,610,610,0.8
700,38.93,0,598,598,0.8
701,38.76,0,598,598,0.8
702,38.67,0,587,587,0.8
703,38.52,0,594,594,0.8
704,38.51,0,609,609,0.8
705,38.65,0,626,626,0.8
706,38.88,0,622,622,0.8
707,38.96,0,622,622,0.8
708,39,0,626,626,0.8
709,39.06,0,632,632,0.8
710,39.14,0,638,638,0.8
711,39.24,0,635,635,0.8
712,39.26,0,649,649,0.8
713,39.41,0,671,671,0.8
714,39.69,0,697,697,0.8
715,40.08,0,726,726,0.8
716,40.55,0,744,744,0.8
717,40.96,0,747,747,0.8
718,41.19,0,747,747,0.8
719,41.31,0,745,745,0.8
720,41.35,0,738,738,0.8
721,41.3,0,722,722,0.8
722,41.12,0,709,709,0.8
723,40.91,0,674,674,0.8
724,40.47,0,656,656,0.8
725,40.08,0,638,638,0.8
726,39.71,0,627,627,0.8
727,39.42,0,632,632,0.8
728,39.32,0,610,610,0.8
729,39.07,0,589,589,0.8
730,38.74,0,576,576,0.8
731,38.45,0,588,588,0.8
732,38.42,0,594,594,0.8
733,38.46,0,603,603,0.8
734,38.57,0,611,611,0.8
735,38.7,0,624,624,0.8
736,38.89,0,643,643,0.8
737,39.16,0,651,651,0.8
738,39.38,0,658,658,0.8
739,39.55,0,654,654,0.8
740,39.6,0,644,644,0.8
741,39.53,0,648,648,0.8
742,39.53,0,664,664,0.8
743,39.69,0,667,667,0.8
744,39.79,0,675,675,0.8
745,39.92,0,685,685,0.8
746,40.08,0,703,703,0.8
747,40.33,0,717,717,0.8
748,40.59,0,734,734,0.8
749,40.88,0,736,736,0.8
750,41.05,0,735,735,0.8
751,41.12,0,726,726,0.8
752,41.07,0,700,700,0.8
753,40.8,0,699,699,0.8
754,40.65,0,689,689,0.8
755,40.49,0,671,671,0.8
756,40.23,0,640,640,0.8
757,39.8,0,620,620,0.8
758,39.4,0,602,602,0.8
759,39.03,0,600,600,0.8
760,38.82,0,584,584,0.8
761,38.57,0,569,569,0.8
762,38.3,0,567,567,0.8
763,38.14,0,567,567,0.8
764,38.06,0,584,584,0.8
765,38.19,0,602,602,0.8
766,38.42,0,619,619,0.8
767,38.7,0,631,631,0.8
768,38.95,0,657,657,0.8
769,39.33,0,670,670,0.8
770,39.64,0,684,684,0.8
771,39.93,0,689,689,0.8
772,40.12,0,691,691,0.8
773,40.24,0,692,692,0.8
774,40.31,0,694,694,0.8
775,40.36,0,700,700,0.8
776,40.44,0,703,703,0.8
777,40.51,0,719,719,0.8
778,40.7,0,717,717,0.8
779,40.78,0,717,717,0.8
780,40.81,0,713,713,0.8
781,40.79,0,709,709,0.8
782,40.75,0,700,700,0.8
783,40.64,0,695,695,0.8
784,40.53,0,673,673,0.8
785,40.27,0,664,664,0.8
786,40.06,0,656,656,0.8
787,39.87,0,641,641,0.8
788,39.64,0,633,633,0.8
789,39.44,0,624,624,0.8
